# Input: comm_input.txt
# Nodes: 141    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.335803
# Communities: 17
# NId	CommunityId
15	0
17	0
18	0
20	0
24	0
25	0
30	0
34	0
37	0
38	0
39	0
40	0
46	0
47	0
51	0
53	0
55	0
56	0
58	0
60	0
68	0
69	0
71	0
77	0
78	0
80	0
81	0
91	0
95	0
96	0
98	0
99	0
100	0
102	0
106	0
109	0
116	0
117	0
119	0
126	0
127	0
132	0
134	0
153	0
158	0
159	0
170	0
179	0
181	0
222	0
227	0
230	0
244	0
247	0
248	0
250	0
251	0
252	0
257	0
266	0
273	0
14	1
16	1
62	1
82	1
97	1
105	1
111	1
112	1
113	1
114	1
136	1
160	1
163	1
171	1
173	1
210	1
216	1
218	1
233	1
235	1
236	1
241	1
258	1
259	1
260	1
261	1
264	1
269	1
59	2
92	2
93	2
135	2
140	2
174	2
189	2
199	2
239	2
73	3
83	3
87	3
143	3
206	3
219	3
42	4
44	4
183	4
200	4
263	4
271	4
6	5
144	5
180	5
188	5
190	5
193	5
41	6
49	6
67	6
79	6
256	6
165	7
176	7
177	7
198	7
195	8
225	8
243	8
10	9
150	9
212	9
2	10
3	10
223	10
7	11
146	11
197	12
169	13
103	14
50	15
26	16
