# Input: comm_input.txt
# Nodes: 182    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.407450
# Communities: 34
# NId	CommunityId
8	0
30	0
31	0
33	0
45	0
48	0
52	0
57	0
63	0
66	0
67	0
77	0
103	0
105	0
125	0
126	0
132	0
174	0
183	0
187	0
197	0
228	0
229	0
230	0
232	0
236	0
245	0
249	0
299	0
0	1
7	1
64	1
65	1
73	1
80	1
113	1
144	1
186	1
203	1
210	1
217	1
219	1
220	1
224	1
250	1
251	1
253	1
266	1
270	1
274	1
275	1
288	1
294	1
24	2
88	2
91	2
92	2
94	2
95	2
102	2
108	2
112	2
115	2
128	2
135	2
137	2
150	2
156	2
175	2
190	2
192	2
193	2
194	2
196	2
202	2
265	2
89	3
93	3
96	3
97	3
101	3
110	3
111	3
114	3
124	3
130	3
136	3
151	3
157	3
161	3
171	3
177	3
212	3
238	3
276	3
297	3
1	4
6	4
12	4
15	4
21	4
56	4
58	4
68	4
69	4
70	4
90	4
138	4
172	4
176	4
255	4
263	4
267	4
83	5
117	5
134	5
237	5
239	5
244	5
252	5
282	5
291	5
81	6
82	6
216	6
225	6
269	6
278	6
298	6
106	7
131	7
141	7
155	7
165	7
227	7
158	8
163	8
173	8
178	8
300	8
122	9
127	9
133	9
179	9
41	10
53	10
54	10
55	10
25	11
139	11
205	11
292	11
218	12
283	12
284	12
71	13
86	13
211	13
35	14
49	14
223	14
221	15
231	15
14	16
19	16
293	17
279	18
277	19
247	20
233	21
206	22
195	23
162	24
123	25
119	26
116	27
109	28
84	29
13	30
9	31
5	32
2	33
