# Input: comm_input.txt
# Nodes: 142    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.205414
# Communities: 52
# NId	CommunityId
0	0
8	0
26	0
27	0
28	0
31	0
33	0
43	0
44	0
45	0
46	0
47	0
48	0
57	0
61	0
66	0
75	0
77	0
78	0
103	0
105	0
125	0
126	0
174	0
185	0
187	0
188	0
189	0
197	0
200	0
229	0
230	0
232	0
236	0
243	0
245	0
249	0
281	0
299	0
301	0
24	1
41	1
42	1
53	1
54	1
55	1
74	1
109	1
170	1
210	1
350	1
384	1
2	2
218	2
235	2
240	2
272	2
283	2
284	2
336	2
347	2
370	2
374	2
50	3
79	3
182	3
184	3
191	3
253	3
256	3
257	3
85	4
87	4
98	4
99	4
119	4
120	4
286	4
247	5
317	5
346	5
352	5
428	5
304	6
394	6
399	6
429	6
36	7
215	7
287	7
311	7
30	8
67	8
183	8
9	9
10	9
11	9
395	10
400	10
259	11
338	11
39	12
198	12
410	13
409	14
386	15
373	16
358	17
335	18
334	19
333	20
329	21
302	22
293	23
279	24
277	25
261	26
246	27
233	28
231	29
228	30
226	31
223	32
221	33
213	34
208	35
206	36
195	37
180	38
132	39
63	40
62	41
52	42
51	43
49	44
40	45
38	46
35	47
34	48
32	49
23	50
13	51
