# Input: comm_input.txt
# Nodes: 242    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.660299
# Communities: 18
# NId	CommunityId
438	0
442	0
443	0
444	0
449	0
450	0
452	0
454	0
459	0
460	0
462	0
463	0
466	0
470	0
473	0
474	0
475	0
476	0
480	0
481	0
483	0
484	0
487	0
488	0
492	0
493	0
494	0
497	0
500	0
505	0
511	0
514	0
516	0
518	0
520	0
521	0
525	0
526	0
529	0
533	0
534	0
537	0
539	0
543	0
545	0
546	0
547	0
551	0
553	0
557	0
558	0
559	0
560	0
562	0
563	0
565	0
566	0
567	0
7	1
76	1
88	1
89	1
91	1
92	1
95	1
97	1
100	1
107	1
110	1
112	1
114	1
129	1
131	1
135	1
137	1
140	1
147	1
150	1
152	1
154	1
156	1
161	1
171	1
190	1
193	1
202	1
214	1
235	1
240	1
265	1
276	1
347	1
354	1
358	1
370	1
374	1
400	1
405	1
23	2
26	2
27	2
28	2
31	2
32	2
33	2
40	2
43	2
45	2
49	2
50	2
57	2
61	2
63	2
66	2
77	2
103	2
105	2
126	2
174	2
182	2
185	2
188	2
189	2
213	2
215	2
226	2
243	2
256	2
281	2
302	2
335	2
409	2
1	3
12	3
14	3
18	3
19	3
20	3
21	3
22	3
58	3
59	3
72	3
83	3
204	3
242	3
263	3
289	3
310	3
447	3
477	3
541	3
146	4
155	4
160	4
165	4
168	4
169	4
199	4
237	4
254	4
282	4
290	4
364	4
369	4
417	4
418	4
41	5
42	5
53	5
55	5
67	5
74	5
170	5
183	5
210	5
350	5
158	6
159	6
163	6
164	6
167	6
207	6
300	6
419	6
421	6
70	7
205	7
359	7
371	7
377	7
378	7
408	7
413	7
64	8
73	8
144	8
217	8
275	8
330	8
376	8
415	8
71	9
86	9
104	9
153	9
181	9
315	9
431	9
5	10
29	10
121	10
127	10
133	10
162	10
179	10
216	11
269	11
298	11
372	11
379	11
434	11
17	12
25	12
60	12
69	12
356	12
361	12
98	13
120	13
139	13
261	13
286	13
84	14
331	14
407	14
344	15
345	15
312	16
381	16
248	17
262	17
