# Input: comm_input.txt
# Nodes: 562    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.607739
# Communities: 16
# NId	CommunityId
225	0
255	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
478	0
479	0
480	0
481	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
497	0
498	0
499	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
510	0
511	0
512	0
513	0
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	0
523	0
524	0
525	0
526	0
527	0
529	0
530	0
531	0
532	0
534	0
535	0
536	0
537	0
538	0
539	0
540	0
542	0
543	0
544	0
545	0
546	0
547	0
549	0
551	0
552	0
553	0
554	0
555	0
556	0
557	0
558	0
559	0
560	0
561	0
562	0
563	0
565	0
566	0
567	0
0	1
2	1
3	1
6	1
9	1
10	1
11	1
12	1
13	1
15	1
17	1
20	1
21	1
22	1
25	1
34	1
37	1
38	1
39	1
56	1
58	1
59	1
60	1
68	1
69	1
70	1
71	1
72	1
86	1
90	1
138	1
139	1
148	1
172	1
180	1
181	1
195	1
198	1
205	1
211	1
218	1
235	1
240	1
259	1
267	1
271	1
272	1
280	1
283	1
284	1
285	1
293	1
296	1
304	1
306	1
315	1
317	1
318	1
319	1
321	1
322	1
325	1
328	1
329	1
333	1
336	1
338	1
340	1
343	1
346	1
347	1
352	1
356	1
358	1
361	1
363	1
370	1
371	1
373	1
374	1
377	1
378	1
385	1
394	1
395	1
397	1
399	1
400	1
402	1
406	1
408	1
428	1
429	1
431	1
29	2
89	2
96	2
97	2
100	2
101	2
104	2
106	2
107	2
110	2
111	2
114	2
117	2
118	2
122	2
124	2
127	2
131	2
133	2
134	2
136	2
141	2
144	2
145	2
146	2
147	2
151	2
152	2
153	2
154	2
155	2
157	2
158	2
159	2
160	2
161	2
163	2
164	2
165	2
166	2
167	2
168	2
169	2
171	2
173	2
175	2
177	2
178	2
179	2
201	2
202	2
207	2
209	2
212	2
222	2
238	2
239	2
244	2
252	2
260	2
268	2
276	2
290	2
291	2
295	2
300	2
307	2
309	2
324	2
326	2
351	2
354	2
357	2
360	2
362	2
375	2
382	2
383	2
396	2
398	2
405	2
411	2
412	2
417	2
418	2
419	2
420	2
421	2
423	2
8	3
23	3
26	3
27	3
28	3
31	3
32	3
33	3
35	3
40	3
43	3
44	3
45	3
46	3
47	3
48	3
49	3
50	3
51	3
52	3
57	3
61	3
62	3
63	3
66	3
75	3
77	3
78	3
79	3
85	3
87	3
98	3
99	3
103	3
105	3
119	3
120	3
125	3
126	3
132	3
174	3
176	3
182	3
184	3
185	3
187	3
188	3
189	3
191	3
197	3
200	3
206	3
208	3
213	3
215	3
221	3
223	3
226	3
228	3
229	3
230	3
231	3
232	3
236	3
243	3
245	3
246	3
249	3
253	3
256	3
257	3
261	3
277	3
279	3
281	3
286	3
287	3
292	3
299	3
301	3
302	3
311	3
314	3
334	3
335	3
349	3
386	3
409	3
410	3
1	4
4	4
16	4
204	4
242	4
263	4
289	4
310	4
341	4
355	4
359	4
365	4
388	4
390	4
393	4
401	4
403	4
404	4
413	4
424	4
426	4
427	4
430	4
432	4
433	4
435	4
436	4
437	4
447	4
477	4
482	4
496	4
500	4
509	4
528	4
533	4
541	4
548	4
550	4
564	4
7	5
64	5
65	5
73	5
80	5
84	5
113	5
186	5
203	5
217	5
219	5
220	5
224	5
248	5
250	5
251	5
262	5
266	5
270	5
273	5
274	5
275	5
288	5
294	5
316	5
323	5
330	5
331	5
368	5
376	5
407	5
422	5
76	6
88	6
91	6
92	6
94	6
95	6
102	6
108	6
112	6
115	6
116	6
128	6
129	6
135	6
137	6
140	6
142	6
143	6
149	6
150	6
156	6
190	6
192	6
193	6
196	6
214	6
265	6
337	6
387	6
81	7
82	7
216	7
258	7
264	7
269	7
278	7
298	7
308	7
313	7
320	7
332	7
342	7
344	7
345	7
367	7
372	7
379	7
380	7
389	7
434	7
30	8
36	8
41	8
42	8
53	8
54	8
55	8
67	8
74	8
109	8
170	8
183	8
210	8
233	8
350	8
384	8
93	9
130	9
297	9
303	9
312	9
339	9
353	9
366	9
381	9
234	10
305	10
348	10
391	10
415	10
425	10
237	11
327	11
392	11
416	11
199	12
241	12
254	12
282	12
14	13
18	13
19	13
83	13
5	14
121	14
162	14
364	15
369	15
