# Input: comm_input.txt
# Nodes: 1479    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.915227
# Communities: 35
# NId	CommunityId
7	0
87	0
151	0
161	0
196	0
251	0
257	0
338	0
366	0
415	0
448	0
498	0
534	0
563	0
591	0
597	0
602	0
608	0
622	0
669	0
670	0
673	0
675	0
779	0
817	0
876	0
877	0
900	0
904	0
974	0
1016	0
1067	0
1071	0
1096	0
1103	0
1125	0
1128	0
1161	0
1186	0
1203	0
1211	0
1212	0
1214	0
1240	0
1243	0
1255	0
1256	0
1350	0
1369	0
1381	0
1403	0
1406	0
1432	0
1442	0
1451	0
1455	0
1461	0
1467	0
1493	0
1499	0
1508	0
1551	0
1671	0
1681	0
1696	0
1714	0
1724	0
1741	0
1751	0
1859	0
1861	0
1904	0
1907	0
1915	0
1937	0
1942	0
1958	0
1961	0
1986	0
1989	0
2001	0
2008	0
2019	0
2020	0
2022	0
2030	0
2032	0
2035	0
2059	0
2206	0
2248	0
2265	0
2279	0
2282	0
2296	0
2303	0
2318	0
2334	0
2339	0
2349	0
2488	0
2502	0
2504	0
2509	0
2538	0
2590	0
2690	0
2692	0
2713	0
2722	0
2735	0
2762	0
2790	0
2806	0
2841	0
2848	0
2860	0
2885	0
2967	0
3008	0
3047	0
3048	0
3078	0
3133	0
3137	0
3170	0
3182	0
3222	0
3240	0
3265	0
3293	0
3361	0
3372	0
3401	0
3437	0
3445	0
3477	0
3550	0
3598	0
3599	0
3617	0
3672	0
3692	0
3742	0
3759	0
3772	0
3793	0
3802	0
3817	0
3872	0
3901	0
3904	0
3908	0
3938	0
3981	0
3988	0
3992	0
11	1
42	1
105	1
198	1
205	1
234	1
269	1
271	1
275	1
278	1
301	1
371	1
381	1
434	1
443	1
490	1
503	1
562	1
573	1
699	1
816	1
915	1
930	1
1013	1
1039	1
1065	1
1126	1
1136	1
1227	1
1466	1
1530	1
1535	1
1543	1
1553	1
1573	1
1591	1
1600	1
1623	1
1690	1
1748	1
1795	1
1830	1
1834	1
1877	1
1922	1
1935	1
2000	1
2043	1
2054	1
2070	1
2174	1
2301	1
2370	1
2395	1
2401	1
2456	1
2478	1
2505	1
2567	1
2589	1
2607	1
2637	1
2662	1
2684	1
2714	1
2755	1
2803	1
2817	1
2826	1
2882	1
2897	1
2932	1
2969	1
2972	1
2998	1
3020	1
3039	1
3045	1
3083	1
3088	1
3125	1
3186	1
3352	1
3371	1
3395	1
3425	1
3466	1
3484	1
3593	1
3602	1
3628	1
3691	1
3693	1
3730	1
3832	1
3855	1
3856	1
3864	1
3879	1
3896	1
3957	1
3994	1
34	2
62	2
80	2
119	2
124	2
169	2
187	2
258	2
328	2
334	2
359	2
392	2
508	2
509	2
561	2
620	2
627	2
710	2
720	2
724	2
828	2
844	2
846	2
849	2
856	2
869	2
982	2
1027	2
1166	2
1195	2
1232	2
1252	2
1290	2
1317	2
1335	2
1366	2
1370	2
1400	2
1401	2
1421	2
1486	2
1491	2
1495	2
1560	2
1589	2
1662	2
1667	2
1680	2
1802	2
1857	2
1949	2
1960	2
2017	2
2088	2
2186	2
2254	2
2328	2
2386	2
2390	2
2427	2
2445	2
2493	2
2522	2
2523	2
2550	2
2557	2
2573	2
2695	2
2719	2
2725	2
2791	2
2843	2
2853	2
2876	2
2889	2
2924	2
2927	2
2999	2
3038	2
3099	2
3169	2
3220	2
3370	2
3643	2
3648	2
3711	2
3719	2
3724	2
3758	2
3827	2
3911	2
3920	2
3983	2
52	3
77	3
155	3
166	3
206	3
330	3
377	3
384	3
412	3
465	3
483	3
587	3
594	3
642	3
655	3
696	3
772	3
802	3
803	3
931	3
958	3
960	3
1014	3
1021	3
1031	3
1064	3
1130	3
1185	3
1234	3
1235	3
1253	3
1280	3
1332	3
1337	3
1454	3
1462	3
1542	3
1552	3
1563	3
1608	3
1620	3
1655	3
1704	3
1710	3
1735	3
1883	3
1889	3
1913	3
1923	3
1956	3
2046	3
2051	3
2062	3
2086	3
2115	3
2141	3
2170	3
2183	3
2391	3
2529	3
2578	3
2675	3
2720	3
2799	3
2822	3
2873	3
2905	3
2911	3
2941	3
2950	3
3015	3
3103	3
3116	3
3227	3
3243	3
3257	3
3280	3
3299	3
3305	3
3367	3
3413	3
3509	3
3515	3
3716	3
3721	3
3727	3
3811	3
3822	3
3906	3
3950	3
3979	3
61	4
64	4
146	4
268	4
339	4
352	4
463	4
599	4
654	4
741	4
787	4
840	4
853	4
864	4
879	4
914	4
1040	4
1043	4
1047	4
1050	4
1080	4
1091	4
1100	4
1102	4
1116	4
1168	4
1263	4
1289	4
1308	4
1394	4
1428	4
1444	4
1529	4
1532	4
1544	4
1638	4
1702	4
1773	4
1821	4
1836	4
1843	4
1871	4
1884	4
1920	4
1926	4
1943	4
2036	4
2055	4
2142	4
2149	4
2164	4
2212	4
2218	4
2240	4
2424	4
2524	4
2778	4
2865	4
2942	4
2963	4
3064	4
3068	4
3104	4
3106	4
3124	4
3161	4
3287	4
3383	4
3387	4
3467	4
3490	4
3502	4
3535	4
3558	4
3613	4
3626	4
3678	4
3708	4
3809	4
3833	4
3866	4
3945	4
3989	4
25	5
60	5
167	5
216	5
227	5
255	5
286	5
314	5
369	5
453	5
457	5
472	5
570	5
576	5
648	5
739	5
799	5
954	5
1022	5
1121	5
1133	5
1163	5
1209	5
1217	5
1327	5
1373	5
1431	5
1510	5
1514	5
1518	5
1683	5
1731	5
1833	5
2037	5
