# Input: comm_input.txt
# Nodes: 146    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.057338
# Communities: 73
# NId	CommunityId
0	0
15	0
17	0
21	0
23	0
24	0
27	0
28	0
29	0
31	0
32	0
34	0
35	0
37	0
39	0
48	0
51	0
53	0
60	0
68	0
69	0
70	0
76	0
77	0
78	0
80	0
85	0
91	0
95	0
96	0
98	0
99	0
100	0
102	0
106	0
109	0
110	0
116	0
122	0
123	0
124	0
126	0
127	0
130	0
132	0
134	0
139	0
149	0
151	0
179	0
181	0
182	0
185	0
203	0
207	0
213	0
220	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
254	0
257	0
267	0
268	0
49	1
50	1
67	1
131	1
256	1
273	2
271	3
266	4
263	5
262	6
255	7
253	8
243	9
242	10
230	11
227	12
225	13
222	14
202	15
200	16
197	17
195	18
191	19
184	20
183	21
178	22
170	23
169	24
168	25
167	26
159	27
158	28
156	29
154	30
153	31
138	32
133	33
129	34
128	35
125	36
119	37
118	38
117	39
115	40
108	41
107	42
103	43
94	44
88	45
81	46
79	47
75	48
72	49
71	50
61	51
58	52
57	53
56	54
55	55
47	56
46	57
44	58
43	59
42	60
41	61
40	62
38	63
36	64
33	65
30	66
26	67
25	68
22	69
20	70
18	71
13	72
