# Input: comm_input.txt
# Nodes: 63    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.026327
# Communities: 35
# NId	CommunityId
7	0
12	0
45	0
54	0
66	0
74	0
86	0
89	0
90	0
101	0
105	0
113	0
120	0
155	0
157	0
161	0
164	0
171	0
186	0
187	0
192	0
194	0
205	0
208	0
215	0
217	0
221	0
234	0
272	0
269	1
264	2
261	3
260	4
259	5
258	6
241	7
237	8
236	9
235	10
233	11
232	12
218	13
216	14
210	15
196	16
175	17
173	18
163	19
160	20
146	21
142	22
136	23
114	24
112	25
111	26
97	27
84	28
82	29
62	30
19	31
16	32
14	33
8	34
