# Input: comm_input.txt
# Nodes: 98    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.263690
# Communities: 20
# NId	CommunityId
225	0
438	0
440	0
441	0
444	0
445	0
446	0
451	0
452	0
453	0
461	0
463	0
466	0
467	0
470	0
472	0
473	0
478	0
480	0
481	0
483	0
484	0
486	0
490	0
499	0
523	0
524	0
526	0
531	0
535	0
538	0
549	0
552	0
553	0
554	0
556	0
557	0
558	0
561	0
562	0
439	1
475	1
493	1
494	1
501	1
505	1
508	1
512	1
516	1
517	1
518	1
520	1
530	1
532	1
551	1
471	2
492	2
495	2
513	2
521	2
545	2
546	2
547	2
563	2
502	3
506	3
515	3
522	3
527	3
448	4
460	4
566	4
567	4
504	5
555	5
565	5
482	6
491	6
507	6
462	7
465	7
498	7
534	8
540	8
456	9
474	9
450	10
468	10
449	11
458	11
543	12
542	13
537	14
519	15
510	16
488	17
455	18
454	19
