# Input: comm_input.txt
# Nodes: 82    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.383670
# Communities: 18
# NId	CommunityId
100	0
107	0
110	0
114	0
118	0
136	0
152	0
161	0
177	0
209	0
212	0
276	0
307	0
351	0
383	0
396	0
405	0
418	0
151	1
158	1
159	1
163	1
167	1
178	1
207	1
222	1
238	1
252	1
300	1
412	1
419	1
420	1
421	1
89	2
96	2
97	2
101	2
111	2
124	2
131	2
147	2
171	2
175	2
201	2
268	2
324	2
354	2
375	2
93	3
122	3
127	3
130	3
133	3
179	3
303	3
312	3
381	3
145	4
166	4
202	4
104	5
153	5
295	5
5	6
121	6
162	6
173	7
176	7
146	8
168	8
141	9
157	9
134	10
164	10
106	11
309	11
398	12
357	13
290	14
154	15
123	16
29	17
