# Input: comm_input.txt
# Nodes: 221    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.657383
# Communities: 20
# NId	CommunityId
23	0
26	0
27	0
31	0
32	0
33	0
35	0
40	0
43	0
45	0
49	0
50	0
52	0
57	0
61	0
62	0
63	0
66	0
67	0
75	0
77	0
78	0
103	0
105	0
126	0
174	0
182	0
183	0
185	0
188	0
189	0
208	0
215	0
226	0
243	0
256	0
277	0
279	0
281	0
301	0
302	0
335	0
349	0
386	0
409	0
7	1
64	1
65	1
73	1
76	1
80	1
88	1
89	1
92	1
95	1
97	1
107	1
110	1
112	1
114	1
129	1
131	1
135	1
137	1
140	1
144	1
147	1
149	1
150	1
154	1
156	1
161	1
171	1
186	1
190	1
193	1
202	1
212	1
217	1
265	1
275	1
276	1
354	1
405	1
216	2
225	2
298	2
372	2
442	2
443	2
444	2
449	2
452	2
457	2
461	2
463	2
466	2
470	2
473	2
480	2
481	2
483	2
484	2
485	2
497	2
524	2
526	2
552	2
553	2
557	2
558	2
560	2
562	2
12	3
17	3
20	3
21	3
22	3
25	3
37	3
58	3
59	3
60	3
69	3
71	3
72	3
86	3
90	3
98	3
104	3
120	3
139	3
261	3
286	3
306	3
315	3
356	3
361	3
371	3
408	3
146	4
155	4
160	4
165	4
168	4
169	4
234	4
237	4
254	4
282	4
290	4
364	4
369	4
414	4
415	4
416	4
417	4
418	4
1	5
204	5
242	5
263	5
413	5
432	5
433	5
447	5
477	5
541	5
158	6
164	6
167	6
300	6
360	6
419	6
421	6
29	7
122	7
133	7
179	7
303	7
312	7
494	8
512	8
518	8
525	8
551	8
70	9
205	9
359	9
377	9
378	9
41	10
42	10
55	10
74	10
350	10
521	11
545	11
546	11
563	11
462	12
464	12
465	12
539	12
460	13
566	13
567	13
247	14
317	14
346	14
14	15
18	15
19	15
476	16
565	16
344	17
345	17
269	18
434	18
240	19
370	19
