# Input: comm_input.txt
# Nodes: 383    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.670739
# Communities: 20
# NId	CommunityId
438	0
439	0
442	0
443	0
444	0
448	0
449	0
450	0
452	0
454	0
455	0
458	0
459	0
460	0
462	0
463	0
464	0
466	0
468	0
470	0
472	0
473	0
474	0
475	0
476	0
478	0
480	0
481	0
483	0
484	0
487	0
488	0
491	0
492	0
493	0
494	0
495	0
497	0
498	0
499	0
505	0
506	0
507	0
510	0
512	0
513	0
514	0
516	0
518	0
520	0
521	0
523	0
525	0
526	0
529	0
531	0
532	0
534	0
536	0
537	0
539	0
543	0
545	0
546	0
547	0
551	0
552	0
553	0
557	0
558	0
559	0
560	0
562	0
563	0
565	0
566	0
567	0
23	1
26	1
27	1
28	1
31	1
32	1
33	1
35	1
36	1
40	1
43	1
45	1
46	1
48	1
49	1
50	1
51	1
52	1
57	1
61	1
63	1
66	1
75	1
77	1
79	1
103	1
105	1
126	1
174	1
182	1
185	1
187	1
188	1
189	1
200	1
206	1
208	1
213	1
215	1
223	1
226	1
228	1
231	1
236	1
243	1
246	1
249	1
256	1
279	1
281	1
287	1
292	1
299	1
301	1
302	1
311	1
335	1
386	1
409	1
76	2
88	2
89	2
91	2
92	2
94	2
95	2
97	2
100	2
106	2
107	2
108	2
110	2
111	2
112	2
114	2
115	2
129	2
131	2
135	2
137	2
140	2
146	2
149	2
150	2
152	2
154	2
156	2
161	2
166	2
171	2
175	2
190	2
193	2
196	2
202	2
212	2
214	2
265	2
268	2
276	2
349	2
354	2
405	2
1	3
14	3
18	3
19	3
58	3
83	3
204	3
242	3
263	3
289	3
310	3
341	3
359	3
393	3
401	3
404	3
413	3
424	3
432	3
433	3
435	3
436	3
447	3
477	3
500	3
509	3
511	3
533	3
541	3
548	3
564	3
7	4
64	4
73	4
80	4
84	4
113	4
144	4
186	4
203	4
217	4
219	4
220	4
224	4
248	4
262	4
266	4
270	4
273	4
274	4
275	4
288	4
294	4
323	4
330	4
331	4
376	4
407	4
153	5
158	5
159	5
163	5
164	5
167	5
207	5
234	5
238	5
244	5
295	5
300	5
348	5
360	5
391	5
415	5
419	5
421	5
425	5
70	6
71	6
86	6
104	6
138	6
148	6
181	6
205	6
271	6
280	6
315	6
321	6
371	6
377	6
378	6
397	6
402	6
408	6
431	6
155	7
157	7
160	7
165	7
168	7
169	7
199	7
201	7
237	7
241	7
254	7
282	7
290	7
327	7
362	7
392	7
418	7
423	7
3	8
12	8
20	8
21	8
22	8
59	8
68	8
72	8
85	8
98	8
120	8
139	8
261	8
267	8
285	8
286	8
296	8
24	9
30	9
41	9
42	9
53	9
54	9
55	9
67	9
74	9
109	9
170	9
183	9
210	9
350	9
16	10
81	10
216	10
269	10
278	10
298	10
313	10
344	10
345	10
355	10
367	10
372	10
379	10
434	10
147	11
235	11
240	11
283	11
284	11
336	11
347	11
358	11
370	11
374	11
395	11
400	11
17	12
25	12
60	12
69	12
306	12
318	12
356	12
361	12
5	13
29	13
121	13
122	13
127	13
133	13
162	13
179	13
364	14
369	14
417	14
304	15
394	15
399	15
297	16
312	16
381	16
247	17
346	17
428	17
259	18
338	18
9	19
10	19
