# Input: comm_input.txt
# Nodes: 387    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.670051
# Communities: 13
# NId	CommunityId
2	0
76	0
88	0
89	0
91	0
92	0
95	0
96	0
97	0
100	0
104	0
106	0
107	0
110	0
112	0
114	0
115	0
117	0
124	0
129	0
131	0
134	0
135	0
136	0
137	0
140	0
145	0
146	0
147	0
150	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
164	0
166	0
167	0
168	0
169	0
171	0
175	0
192	0
193	0
199	0
201	0
202	0
207	0
209	0
218	0
234	0
235	0
237	0
239	0
240	0
252	0
254	0
265	0
268	0
272	0
276	0
282	0
283	0
291	0
295	0
300	0
305	0
309	0
326	0
327	0
336	0
347	0
348	0
354	0
358	0
360	0
364	0
369	0
370	0
374	0
375	0
382	0
392	0
395	0
396	0
400	0
405	0
411	0
414	0
415	0
417	0
418	0
419	0
421	0
423	0
8	1
23	1
27	1
28	1
30	1
31	1
32	1
33	1
40	1
42	1
43	1
45	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
57	1
61	1
63	1
66	1
67	1
74	1
75	1
77	1
103	1
105	1
126	1
132	1
170	1
174	1
182	1
183	1
184	1
185	1
187	1
188	1
189	1
200	1
203	1
206	1
208	1
210	1
213	1
215	1
223	1
226	1
228	1
229	1
243	1
246	1
256	1
277	1
279	1
281	1
299	1
302	1
334	1
335	1
349	1
350	1
384	1
386	1
409	1
6	2
12	2
15	2
17	2
18	2
19	2
20	2
21	2
22	2
25	2
37	2
56	2
58	2
59	2
60	2
68	2
69	2
70	2
71	2
72	2
83	2
85	2
86	2
87	2
90	2
98	2
99	2
119	2
120	2
139	2
148	2
172	2
181	2
205	2
261	2
267	2
271	2
280	2
286	2
290	2
296	2
306	2
314	2
315	2
318	2
322	2
328	2
343	2
356	2
359	2
371	2
377	2
378	2
385	2
397	2
402	2
406	2
431	2
440	3
441	3
442	3
443	3
444	3
448	3
449	3
452	3
453	3
457	3
458	3
459	3
460	3
461	3
462	3
463	3
464	3
465	3
466	3
467	3
470	3
472	3
473	3
480	3
481	3
483	3
484	3
486	3
490	3
497	3
498	3
499	3
503	3
515	3
522	3
523	3
524	3
526	3
527	3
529	3
534	3
535	3
539	3
549	3
553	3
554	3
557	3
558	3
560	3
561	3
562	3
566	3
567	3
439	4
471	4
474	4
475	4
476	4
482	4
488	4
489	4
492	4
493	4
494	4
501	4
505	4
507	4
514	4
516	4
518	4
520	4
521	4
525	4
530	4
532	4
536	4
547	4
551	4
555	4
563	4
565	4
1	5
204	5
242	5
263	5
289	5
341	5
365	5
388	5
393	5
404	5
413	5
435	5
436	5
437	5
447	5
477	5
496	5
500	5
528	5
533	5
541	5
548	5
564	5
7	6
64	6
73	6
80	6
84	6
144	6
217	6
219	6
224	6
248	6
262	6
270	6
273	6
274	6
275	6
288	6
323	6
331	6
376	6
216	7
258	7
264	7
298	7
308	7
313	7
320	7
332	7
344	7
345	7
355	7
372	7
379	7
380	7
389	7
390	7
425	7
432	7
29	8
93	8
122	8
127	8
133	8
173	8
179	8
130	9
297	9
312	9
339	9
353	9
366	9
304	10
394	10
399	10
450	11
468	11
247	12
352	12
