# Input: comm_input.txt
# Nodes: 301    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.428009
# Communities: 40
# NId	CommunityId
0	0
8	0
23	0
26	0
27	0
28	0
31	0
32	0
33	0
35	0
40	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
54	0
57	0
61	0
62	0
63	0
66	0
67	0
75	0
77	0
78	0
79	0
103	0
105	0
125	0
126	0
132	0
174	0
182	0
184	0
185	0
187	0
188	0
189	0
191	0
197	0
200	0
205	0
206	0
208	0
221	0
223	0
226	0
228	0
229	0
230	0
231	0
232	0
236	0
243	0
245	0
249	0
253	0
256	0
257	0
277	0
279	0
281	0
292	0
299	0
7	1
89	1
96	1
97	1
100	1
101	1
104	1
107	1
110	1
111	1
114	1
118	1
124	1
131	1
136	1
141	1
145	1
146	1
147	1
151	1
152	1
153	1
154	1
157	1
158	1
159	1
161	1
163	1
166	1
167	1
168	1
171	1
175	1
177	1
178	1
201	1
202	1
207	1
209	1
212	1
222	1
238	1
252	1
268	1
276	1
295	1
300	1
2	2
76	2
88	2
91	2
92	2
93	2
94	2
95	2
102	2
108	2
112	2
115	2
116	2
128	2
129	2
135	2
137	2
140	2
143	2
149	2
150	2
156	2
190	2
192	2
193	2
194	2
196	2
214	2
218	2
235	2
240	2
265	2
272	2
283	2
284	2
64	3
65	3
73	3
80	3
106	3
113	3
144	3
186	3
217	3
219	3
220	3
224	3
250	3
251	3
266	3
270	3
273	3
274	3
275	3
288	3
294	3
1	4
6	4
12	4
17	4
20	4
21	4
22	4
25	4
56	4
58	4
59	4
60	4
68	4
69	4
70	4
72	4
90	4
255	4
267	4
280	4
117	5
155	5
160	5
165	5
169	5
199	5
227	5
237	5
239	5
241	5
254	5
260	5
282	5
290	5
291	5
24	6
41	6
42	6
53	6
55	6
74	6
109	6
170	6
203	6
210	6
16	7
81	7
82	7
216	7
225	7
264	7
269	7
278	7
298	7
85	8
87	8
98	8
99	8
119	8
120	8
139	8
286	8
15	9
71	9
86	9
181	9
211	9
271	9
130	10
142	10
173	10
176	10
297	10
36	11
183	11
215	11
246	11
287	11
29	12
122	12
127	12
133	12
179	12
204	13
242	13
263	13
289	13
134	14
164	14
234	14
244	14
14	15
18	15
19	15
83	15
9	16
10	16
11	16
5	17
121	17
162	17
285	18
296	18
248	19
262	19
138	20
148	20
39	21
198	21
37	22
172	22
293	23
261	24
259	25
258	26
247	27
233	28
213	29
195	30
180	31
123	32
84	33
38	34
34	35
30	36
13	37
4	38
3	39
