# Input: comm_input.txt
# Nodes: 340    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.689903
# Communities: 22
# NId	CommunityId
23	0
26	0
27	0
28	0
31	0
32	0
33	0
35	0
43	0
45	0
48	0
49	0
50	0
51	0
57	0
61	0
63	0
66	0
77	0
87	0
98	0
99	0
103	0
105	0
120	0
126	0
174	0
176	0
182	0
185	0
188	0
189	0
200	0
213	0
215	0
221	0
223	0
226	0
231	0
232	0
243	0
256	0
257	0
261	0
277	0
279	0
281	0
286	0
299	0
301	0
302	0
311	0
335	0
409	0
29	1
89	1
96	1
97	1
100	1
107	1
110	1
111	1
114	1
122	1
127	1
130	1
131	1
133	1
141	1
147	1
148	1
152	1
153	1
154	1
157	1
158	1
159	1
161	1
163	1
167	1
171	1
175	1
177	1
178	1
179	1
202	1
207	1
212	1
268	1
276	1
297	1
300	1
307	1
312	1
351	1
354	1
357	1
375	1
398	1
405	1
412	1
419	1
421	1
255	2
442	2
443	2
444	2
452	2
453	2
459	2
461	2
463	2
466	2
467	2
470	2
472	2
473	2
478	2
480	2
481	2
483	2
484	2
486	2
497	2
523	2
524	2
526	2
529	2
531	2
534	2
535	2
549	2
552	2
553	2
554	2
557	2
558	2
560	2
561	2
562	2
3	3
12	3
14	3
15	3
17	3
18	3
19	3
20	3
21	3
22	3
25	3
37	3
58	3
59	3
60	3
68	3
69	3
71	3
72	3
83	3
86	3
90	3
139	3
181	3
205	3
296	3
306	3
315	3
321	3
322	3
328	3
343	3
356	3
361	3
371	3
408	3
1	4
4	4
16	4
204	4
242	4
289	4
310	4
355	4
359	4
393	4
404	4
413	4
424	4
430	4
432	4
433	4
435	4
436	4
437	4
447	4
477	4
528	4
533	4
541	4
548	4
550	4
564	4
104	5
117	5
146	5
155	5
160	5
165	5
168	5
169	5
199	5
201	5
227	5
237	5
239	5
241	5
252	5
254	5
282	5
291	5
309	5
327	5
382	5
392	5
411	5
414	5
417	5
418	5
76	6
88	6
91	6
92	6
95	6
102	6
112	6
129	6
135	6
140	6
149	6
150	6
156	6
164	6
190	6
193	6
235	6
240	6
265	6
272	6
284	6
358	6
370	6
387	6
400	6
81	7
84	7
216	7
264	7
269	7
273	7
278	7
298	7
320	7
331	7
332	7
342	7
344	7
345	7
367	7
372	7
379	7
389	7
434	7
24	8
30	8
41	8
42	8
53	8
54	8
55	8
67	8
74	8
170	8
183	8
210	8
350	8
384	8
7	9
64	9
73	9
80	9
106	9
144	9
217	9
250	9
270	9
275	9
316	9
376	9
476	10
492	10
545	10
546	10
555	10
565	10
439	11
493	11
494	11
518	11
525	11
551	11
464	12
498	12
522	12
539	12
448	13
460	13
566	13
567	13
70	14
319	14
377	14
378	14
305	15
348	15
415	15
304	16
394	16
399	16
5	17
121	17
162	17
501	18
520	18
450	19
468	19
317	20
346	20
10	21
11	21
