# Input: comm_input.txt
# Nodes: 344    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.580675
# Communities: 25
# NId	CommunityId
225	0
440	0
441	0
445	0
446	0
449	0
451	0
452	0
458	0
459	0
461	0
466	0
470	0
472	0
473	0
478	0
480	0
481	0
483	0
485	0
486	0
490	0
497	0
499	0
502	0
503	0
506	0
515	0
522	0
523	0
526	0
527	0
531	0
535	0
538	0
549	0
552	0
554	0
556	0
557	0
561	0
562	0
0	1
2	1
5	1
9	1
13	1
25	1
35	1
48	1
49	1
84	1
162	1
195	1
218	1
223	1
247	1
283	1
284	1
293	1
305	1
306	1
311	1
317	1
318	1
329	1
338	1
346	1
347	1
348	1
352	1
356	1
373	1
395	1
399	1
400	1
425	1
428	1
7	2
30	2
64	2
65	2
67	2
73	2
80	2
109	2
113	2
144	2
186	2
203	2
206	2
210	2
217	2
219	2
220	2
224	2
250	2
251	2
253	2
266	2
270	2
274	2
275	2
288	2
294	2
316	2
323	2
330	2
368	2
376	2
384	2
407	2
422	2
89	3
96	3
97	3
101	3
117	3
123	3
124	3
134	3
155	3
165	3
171	3
227	3
237	3
239	3
244	3
252	3
282	3
291	3
324	3
326	3
327	3
354	3
360	3
362	3
375	3
414	3
416	3
423	3
8	4
31	4
33	4
45	4
52	4
57	4
63	4
66	4
77	4
103	4
105	4
125	4
126	4
132	4
183	4
187	4
197	4
221	4
229	4
230	4
231	4
232	4
236	4
245	4
249	4
277	4
299	4
409	4
88	5
91	5
92	5
94	5
95	5
102	5
106	5
108	5
112	5
115	5
119	5
128	5
135	5
137	5
150	5
156	5
174	5
190	5
192	5
193	5
194	5
196	5
202	5
265	5
309	5
337	5
387	5
1	6
255	6
263	6
341	6
359	6
365	6
390	6
401	6
403	6
404	6
413	6
424	6
426	6
427	6
430	6
432	6
447	6
477	6
482	6
496	6
500	6
528	6
533	6
541	6
548	6
550	6
564	6
6	7
12	7
15	7
21	7
56	7
58	7
68	7
69	7
71	7
83	7
86	7
90	7
138	7
139	7
172	7
205	7
211	7
267	7
292	7
315	7
321	7
343	7
363	7
371	7
385	7
431	7
110	8
111	8
114	8
131	8
136	8
141	8
157	8
161	8
175	8
177	8
212	8
238	8
276	8
351	8
357	8
396	8
398	8
405	8
81	9
82	9
216	9
269	9
278	9
298	9
313	9
320	9
342	9
372	9
379	9
389	9
434	9
93	10
122	10
127	10
130	10
133	10
179	10
297	10
303	10
312	10
353	10
366	10
381	10
493	11
494	11
501	11
505	11
508	11
514	11
517	11
518	11
520	11
530	11
532	11
151	12
158	12
163	12
173	12
176	12
178	12
300	12
307	12
420	12
421	12
24	13
41	13
53	13
54	13
55	13
233	13
350	13
70	14
319	14
340	14
377	14
378	14
448	15
460	15
566	15
567	15
521	16
545	16
488	17
536	17
455	18
469	18
382	19
411	19
344	20
367	20
14	21
19	21
279	22
228	23
116	24
