# Input: comm_input.txt
# Nodes: 122    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.842760
# Communities: 21
# NId	CommunityId
4	0
58	0
204	0
242	0
263	0
310	0
424	0
426	0
427	0
430	0
432	0
433	0
435	0
436	0
437	0
496	0
541	0
550	0
564	0
474	1
475	1
482	1
488	1
491	1
493	1
505	1
507	1
508	1
512	1
514	1
518	1
525	1
530	1
532	1
536	1
84	2
217	2
219	2
220	2
248	2
270	2
273	2
274	2
288	2
316	2
323	2
331	2
368	2
376	2
407	2
422	2
26	3
40	3
46	3
63	3
208	3
221	3
232	3
249	3
253	3
256	3
277	3
334	3
386	3
476	4
492	4
495	4
504	4
513	4
521	4
545	4
546	4
547	4
555	4
563	4
218	5
283	5
284	5
347	5
374	5
2	6
240	6
272	6
336	6
370	6
306	7
318	7
325	7
361	7
181	8
315	8
402	8
431	8
459	9
535	9
552	9
317	10
346	10
428	10
304	11
394	11
429	11
269	12
332	12
434	12
215	13
287	13
311	13
566	14
567	14
462	15
465	15
319	16
340	16
259	17
338	17
214	18
349	18
115	19
202	19
98	20
286	20
