# Input: comm_input.txt
# Nodes: 98    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.292235
# Communities: 17
# NId	CommunityId
225	0
438	0
440	0
441	0
442	0
443	0
444	0
445	0
449	0
451	0
452	0
453	0
457	0
458	0
459	0
461	0
463	0
466	0
470	0
473	0
478	0
480	0
481	0
483	0
484	0
485	0
497	0
499	0
524	0
526	0
531	0
535	0
538	0
549	0
552	0
553	0
557	0
558	0
560	0
562	0
439	1
475	1
491	1
493	1
494	1
505	1
507	1
508	1
512	1
514	1
516	1
517	1
518	1
520	1
525	1
530	1
551	1
559	1
471	2
476	2
489	2
492	2
513	2
521	2
545	2
546	2
547	2
555	2
563	2
565	2
464	3
498	3
506	3
515	3
527	3
539	3
448	4
460	4
566	4
567	4
529	5
534	5
540	5
474	6
488	6
536	6
455	7
469	7
450	8
468	8
543	9
537	10
519	11
510	12
487	13
479	14
472	15
462	16
