# Input: comm_input.txt
# Nodes: 63    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.637121
# Communities: 7
# NId	CommunityId
93	0
101	0
118	0
122	0
123	0
124	0
136	0
175	0
209	0
212	0
227	0
239	0
241	0
260	0
324	0
396	0
113	1
145	1
151	1
173	1
176	1
178	1
203	1
238	1
303	1
412	1
420	1
134	2
172	2
234	2
244	2
305	2
322	2
343	2
360	2
391	2
393	2
94	3
111	3
115	3
116	3
128	3
143	3
166	3
268	3
337	3
387	3
102	4
125	4
130	4
132	4
142	4
230	4
297	4
309	4
117	5
327	5
392	5
416	5
423	5
85	6
99	6
119	6
