# Input: comm_input.txt
# Nodes: 191    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.693732
# Communities: 17
# NId	CommunityId
7	0
76	0
88	0
89	0
91	0
92	0
95	0
100	0
107	0
110	0
112	0
114	0
129	0
131	0
135	0
140	0
147	0
150	0
152	0
154	0
156	0
161	0
171	0
193	0
202	0
235	0
265	0
276	0
312	0
354	0
370	0
374	0
400	0
405	0
23	1
27	1
28	1
31	1
32	1
33	1
43	1
45	1
49	1
50	1
51	1
57	1
61	1
63	1
66	1
67	1
103	1
105	1
126	1
182	1
183	1
185	1
188	1
189	1
215	1
226	1
232	1
243	1
256	1
281	1
302	1
335	1
409	1
3	2
12	2
17	2
20	2
21	2
22	2
25	2
37	2
56	2
58	2
59	2
60	2
69	2
70	2
71	2
72	2
86	2
90	2
98	2
99	2
104	2
120	2
139	2
205	2
261	2
286	2
315	2
356	2
359	2
371	2
377	2
378	2
442	3
443	3
444	3
452	3
459	3
460	3
466	3
470	3
473	3
480	3
481	3
483	3
484	3
526	3
553	3
557	3
558	3
560	3
562	3
566	3
146	4
155	4
160	4
165	4
168	4
169	4
199	4
210	4
237	4
254	4
282	4
290	4
291	4
309	4
417	4
418	4
158	5
159	5
163	5
164	5
167	5
207	5
300	5
415	5
419	5
421	5
1	6
204	6
242	6
310	6
413	6
447	6
477	6
541	6
544	6
5	7
29	7
121	7
133	7
162	7
179	7
493	8
494	8
518	8
525	8
551	8
64	9
73	9
144	9
217	9
275	9
42	10
53	10
54	10
74	10
350	10
14	11
18	11
19	11
83	11
476	12
492	12
565	12
216	13
298	13
372	13
529	14
534	14
344	15
345	15
84	16
331	16
