# Input: comm_input.txt
# Nodes: 196    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.475534
# Communities: 4
# NId	CommunityId
35	0
139	0
157	0
180	0
228	0
231	0
262	0
275	0
321	0
433	0
477	0
487	0
488	0
547	0
556	0
596	0
676	0
700	0
745	0
779	0
831	0
836	0
928	0
960	0
963	0
986	0
1009	0
1071	0
1155	0
1161	0
1244	0
1270	0
1288	0
1289	0
1308	0
1320	0
1325	0
1451	0
1453	0
1470	0
1491	0
1502	0
1538	0
1598	0
1632	0
1662	0
1709	0
1719	0
1733	0
1736	0
1752	0
1791	0
1820	0
1882	0
1883	0
1909	0
1910	0
1942	0
1968	0
2065	0
2118	0
2128	0
2166	0
2191	0
2237	0
2264	0
2391	0
2415	0
2443	0
2481	0
10	1
13	1
26	1
75	1
251	1
280	1
297	1
330	1
410	1
421	1
457	1
471	1
497	1
531	1
548	1
554	1
587	1
618	1
656	1
672	1
744	1
785	1
805	1
833	1
853	1
895	1
981	1
1039	1
1049	1
1189	1
1211	1
1213	1
1281	1
1353	1
1376	1
1380	1
1415	1
1434	1
1438	1
1489	1
1543	1
1587	1
1616	1
1633	1
1658	1
1726	1
1741	1
1753	1
1784	1
1843	1
1891	1
1962	1
1974	1
2009	1
2012	1
2024	1
2036	1
2055	1
2144	1
2188	1
2189	1
2306	1
2340	1
2383	1
2384	1
2393	1
2409	1
2420	1
2447	1
129	2
149	2
169	2
173	2
186	2
364	2
371	2
386	2
398	2
415	2
450	2
461	2
490	2
551	2
633	2
649	2
654	2
815	2
820	2
929	2
953	2
1053	2
1103	2
1136	2
1170	2
1177	2
1214	2
1219	2
1257	2
1275	2
1297	2
1339	2
1356	2
1371	2
1389	2
1429	2
1432	2
1450	2
1730	2
1756	2
1767	2
1839	2
1861	2
1905	2
1914	2
1921	2
1953	2
2146	2
2222	2
2223	2
2336	2
18	3
517	3
579	3
859	3
1533	3
2032	3
