# Input: comm_input.txt
# Nodes: 473    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.587201
# Communities: 16
# NId	CommunityId
225	0
438	0
439	0
440	0
441	0
444	0
445	0
446	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
458	0
460	0
461	0
462	0
463	0
465	0
466	0
467	0
468	0
470	0
471	0
472	0
473	0
474	0
475	0
478	0
480	0
481	0
482	0
483	0
484	0
486	0
488	0
490	0
491	0
492	0
493	0
494	0
495	0
498	0
499	0
501	0
502	0
504	0
505	0
506	0
507	0
508	0
510	0
512	0
513	0
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	0
523	0
524	0
526	0
527	0
530	0
531	0
532	0
534	0
535	0
537	0
538	0
540	0
542	0
543	0
545	0
546	0
547	0
549	0
551	0
552	0
553	0
554	0
555	0
556	0
557	0
558	0
561	0
562	0
563	0
565	0
566	0
567	0
0	1
2	1
3	1
6	1
9	1
11	1
12	1
13	1
15	1
20	1
22	1
25	1
34	1
37	1
38	1
39	1
56	1
60	1
69	1
70	1
71	1
86	1
90	1
139	1
172	1
180	1
181	1
195	1
198	1
205	1
211	1
218	1
235	1
240	1
247	1
259	1
267	1
271	1
272	1
280	1
283	1
284	1
285	1
293	1
296	1
315	1
317	1
318	1
319	1
321	1
322	1
325	1
328	1
329	1
333	1
336	1
338	1
339	1
340	1
343	1
346	1
352	1
353	1
357	1
358	1
364	1
366	1
370	1
371	1
374	1
377	1
378	1
395	1
397	1
398	1
399	1
400	1
402	1
406	1
408	1
428	1
431	1
8	2
27	2
28	2
31	2
32	2
33	2
35	2
40	2
43	2
44	2
45	2
46	2
48	2
49	2
52	2
54	2
57	2
61	2
62	2
66	2
75	2
77	2
78	2
79	2
85	2
87	2
98	2
99	2
105	2
120	2
125	2
126	2
132	2
174	2
182	2
184	2
185	2
187	2
188	2
189	2
191	2
197	2
200	2
208	2
213	2
215	2
221	2
223	2
224	2
226	2
228	2
229	2
230	2
231	2
232	2
233	2
236	2
243	2
245	2
246	2
249	2
253	2
256	2
257	2
261	2
277	2
281	2
292	2
299	2
301	2
302	2
311	2
314	2
334	2
335	2
386	2
409	2
410	2
89	3
96	3
97	3
100	3
101	3
104	3
107	3
110	3
111	3
115	3
116	3
118	3
122	3
123	3
124	3
130	3
131	3
133	3
134	3
136	3
142	3
145	3
146	3
151	3
152	3
153	3
154	3
158	3
159	3
161	3
163	3
167	3
168	3
171	3
173	3
175	3
176	3
178	3
179	3
201	3
202	3
207	3
212	3
222	3
252	3
265	3
268	3
276	3
295	3
300	3
303	3
307	3
312	3
324	3
351	3
375	3
381	3
383	3
396	3
405	3
412	3
419	3
420	3
421	3
7	4
64	4
65	4
73	4
80	4
113	4
186	4
203	4
219	4
220	4
248	4
266	4
270	4
273	4
274	4
275	4
288	4
294	4
316	4
323	4
330	4
331	4
368	4
376	4
407	4
422	4
1	5
4	5
204	5
242	5
258	5
263	5
289	5
310	5
341	5
359	5
390	5
393	5
401	5
403	5
413	5
424	5
427	5
430	5
432	5
433	5
435	5
436	5
437	5
496	5
541	5
76	6
91	6
94	6
102	6
108	6
128	6
129	6
135	6
137	6
140	6
143	6
149	6
150	6
156	6
190	6
192	6
193	6
194	6
196	6
214	6
309	6
349	6
387	6
117	7
155	7
169	7
199	7
227	7
239	7
241	7
254	7
260	7
282	7
291	7
326	7
362	7
382	7
411	7
417	7
423	7
24	8
30	8
36	8
41	8
42	8
53	8
55	8
67	8
74	8
109	8
170	8
210	8
279	8
384	8
165	9
234	9
237	9
244	9
290	9
305	9
327	9
348	9
391	9
392	9
414	9
415	9
416	9
81	10
82	10
216	10
264	10
269	10
278	10
298	10
313	10
342	10
379	10
380	10
389	10
477	11
500	11
509	11
511	11
528	11
533	11
544	11
548	11
550	11
564	11
141	12
148	12
157	12
14	13
18	13
19	13
5	14
121	14
162	14
308	15
425	15
