# Input: comm_input.txt
# Nodes: 118    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.307536
# Communities: 19
# NId	CommunityId
0	0
7	0
21	0
25	0
56	0
58	0
59	0
85	0
87	0
88	0
90	0
91	0
92	0
94	0
95	0
99	0
100	0
106	0
107	0
108	0
110	0
112	0
115	0
118	0
120	0
129	0
135	0
137	0
139	0
140	0
143	0
144	0
149	0
150	0
151	0
156	0
159	0
174	0
177	0
190	0
192	0
193	0
194	0
196	0
205	0
212	0
214	0
235	0
236	0
275	0
292	0
299	0
314	0
388	0
397	0
406	0
27	1
28	1
31	1
33	1
43	1
44	1
47	1
48	1
66	1
77	1
78	1
103	1
105	1
125	1
126	1
187	1
200	1
230	1
232	1
243	1
245	1
249	1
281	1
301	1
26	2
51	2
61	2
63	2
75	2
79	2
182	2
185	2
188	2
191	2
208	2
229	2
256	2
257	2
387	2
410	2
372	3
386	3
398	3
403	3
80	4
250	4
270	4
288	4
408	5
367	6
361	7
349	8
246	9
228	10
226	11
215	12
183	13
164	14
104	15
97	16
53	17
20	18
