# Input: comm_input.txt
# Nodes: 169    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.713975
# Communities: 14
# NId	CommunityId
438	0
439	0
442	0
450	0
453	0
457	0
462	0
463	0
464	0
465	0
467	0
468	0
471	0
474	0
475	0
476	0
479	0
484	0
492	0
498	0
504	0
507	0
509	0
510	0
511	0
512	0
513	0
516	0
525	0
529	0
534	0
537	0
539	0
542	0
543	0
547	0
551	0
553	0
555	0
558	0
560	0
563	0
26	1
32	1
36	1
40	1
42	1
43	1
44	1
46	1
47	1
50	1
51	1
61	1
62	1
74	1
75	1
78	1
79	1
170	1
182	1
184	1
185	1
188	1
189	1
191	1
200	1
208	1
213	1
215	1
226	1
243	1
246	1
256	1
257	1
281	1
287	1
301	1
302	1
334	1
335	1
386	1
410	1
76	2
100	2
104	2
107	2
129	2
140	2
143	2
145	2
146	2
147	2
153	2
159	2
207	2
209	2
214	2
222	2
235	2
240	2
272	2
295	2
336	2
349	2
370	2
374	2
383	2
412	2
418	2
16	3
20	3
22	3
59	3
72	3
258	3
264	3
273	3
308	3
331	3
332	3
345	3
355	3
380	3
4	4
204	4
242	4
289	4
310	4
433	4
435	4
436	4
437	4
544	4
160	5
199	5
241	5
254	5
260	5
364	5
369	5
417	5
85	6
87	6
98	6
99	6
120	6
261	6
286	6
152	7
166	7
234	7
391	7
393	7
415	7
304	8
394	8
429	8
271	9
397	9
402	9
285	10
296	10
248	11
262	11
60	12
361	12
39	13
198	13
