# Input: comm_input.txt
# Nodes: 81    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.428789
# Communities: 2
# NId	CommunityId
61	0
146	0
268	0
339	0
352	0
787	0
840	0
853	0
864	0
914	0
1047	0
1050	0
1080	0
1102	0
1116	0
1263	0
1289	0
1308	0
1428	0
1529	0
1532	0
1836	0
1843	0
1884	0
1920	0
1926	0
1943	0
2142	0
2149	0
2240	0
2524	0
2963	0
3064	0
3106	0
3124	0
3287	0
3490	0
3558	0
3613	0
3626	0
3678	0
3708	0
64	1
463	1
599	1
654	1
741	1
879	1
1040	1
1043	1
1091	1
1100	1
1168	1
1394	1
1444	1
1544	1
1638	1
1702	1
1773	1
1821	1
1871	1
2036	1
2164	1
2212	1
2218	1
2424	1
2778	1
2865	1
2942	1
3104	1
3161	1
3383	1
3387	1
3467	1
3502	1
3535	1
3809	1
3833	1
3866	1
3945	1
3989	1
