# Input: comm_input.txt
# Nodes: 469    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.677515
# Communities: 24
# NId	CommunityId
225	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
448	0
449	0
450	0
451	0
452	0
453	0
455	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
466	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
478	0
479	0
480	0
481	0
483	0
484	0
485	0
487	0
488	0
489	0
491	0
492	0
493	0
494	0
497	0
498	0
499	0
505	0
506	0
507	0
508	0
510	0
512	0
513	0
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	0
524	0
525	0
526	0
527	0
529	0
530	0
531	0
534	0
535	0
536	0
537	0
538	0
539	0
540	0
543	0
545	0
546	0
547	0
549	0
551	0
552	0
553	0
555	0
557	0
558	0
559	0
560	0
562	0
563	0
565	0
566	0
567	0
8	1
23	1
27	1
28	1
30	1
31	1
32	1
33	1
35	1
36	1
40	1
43	1
44	1
45	1
46	1
47	1
49	1
50	1
51	1
52	1
57	1
61	1
62	1
63	1
66	1
67	1
75	1
77	1
78	1
79	1
103	1
105	1
126	1
132	1
174	1
176	1
182	1
183	1
184	1
185	1
187	1
188	1
189	1
191	1
200	1
206	1
208	1
213	1
215	1
221	1
223	1
226	1
228	1
229	1
231	1
232	1
236	1
243	1
245	1
246	1
253	1
256	1
257	1
277	1
279	1
281	1
287	1
292	1
299	1
301	1
302	1
311	1
314	1
334	1
335	1
349	1
360	1
386	1
409	1
410	1
29	2
89	2
97	2
100	2
101	2
104	2
106	2
107	2
110	2
111	2
114	2
118	2
122	2
130	2
131	2
133	2
146	2
151	2
152	2
153	2
154	2
157	2
158	2
159	2
161	2
163	2
166	2
167	2
168	2
171	2
175	2
177	2
178	2
179	2
201	2
207	2
209	2
212	2
238	2
252	2
268	2
276	2
290	2
295	2
297	2
300	2
307	2
309	2
312	2
351	2
354	2
357	2
383	2
396	2
398	2
405	2
418	2
419	2
421	2
1	3
4	3
204	3
242	3
263	3
289	3
310	3
341	3
355	3
359	3
388	3
393	3
401	3
404	3
413	3
424	3
427	3
430	3
432	3
433	3
435	3
437	3
447	3
477	3
482	3
500	3
509	3
511	3
533	3
541	3
544	3
550	3
564	3
76	4
88	4
91	4
92	4
94	4
95	4
102	4
108	4
112	4
115	4
128	4
129	4
135	4
137	4
140	4
142	4
143	4
145	4
149	4
150	4
156	4
190	4
192	4
193	4
194	4
196	4
202	4
214	4
265	4
303	4
7	5
64	5
65	5
73	5
80	5
84	5
113	5
144	5
186	5
217	5
219	5
220	5
224	5
266	5
270	5
273	5
274	5
275	5
288	5
294	5
316	5
323	5
331	5
407	5
422	5
6	6
12	6
14	6
16	6
18	6
19	6
20	6
21	6
22	6
56	6
58	6
59	6
68	6
70	6
72	6
83	6
280	6
319	6
340	6
371	6
377	6
378	6
117	7
155	7
160	7
165	7
169	7
199	7
227	7
237	7
239	7
241	7
254	7
282	7
291	7
326	7
362	7
392	7
416	7
15	8
37	8
71	8
86	8
138	8
148	8
172	8
205	8
211	8
271	8
315	8
321	8
328	8
343	8
408	8
431	8
81	9
82	9
216	9
258	9
269	9
298	9
313	9
320	9
344	9
345	9
367	9
372	9
379	9
389	9
434	9
24	10
41	10
42	10
53	10
54	10
55	10
74	10
109	10
170	10
210	10
233	10
350	10
384	10
2	11
147	11
164	11
235	11
240	11
272	11
284	11
336	11
347	11
358	11
370	11
374	11
400	11
3	12
85	12
87	12
98	12
99	12
119	12
120	12
139	12
261	12
286	12
17	13
25	13
60	13
69	13
306	13
318	13
325	13
356	13
361	13
247	14
317	14
346	14
352	14
428	14
304	15
394	15
399	15
429	15
234	16
305	16
414	16
415	16
364	17
369	17
417	17
339	18
353	18
366	18
5	19
121	19
162	19
259	20
338	20
39	21
198	21
9	22
10	22
454	23
