# Input: comm_input.txt
# Nodes: 117    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.045390
# Communities: 61
# NId	CommunityId
15	0
17	0
21	0
23	0
24	0
27	0
28	0
31	0
32	0
34	0
35	0
39	0
48	0
51	0
53	0
60	0
68	0
69	0
70	0
76	0
77	0
78	0
91	0
95	0
96	0
98	0
100	0
102	0
106	0
109	0
110	0
116	0
122	0
123	0
126	0
127	0
130	0
134	0
139	0
149	0
153	0
179	0
181	0
185	0
203	0
207	0
213	0
244	0
247	0
248	0
251	0
252	0
254	0
257	0
267	0
268	0
50	1
256	1
273	2
271	3
266	4
263	5
262	6
255	7
253	8
250	9
243	10
230	11
227	12
225	13
222	14
202	15
200	16
195	17
184	18
183	19
178	20
168	21
167	22
159	23
158	24
156	25
154	26
138	27
133	28
131	29
129	30
125	31
119	32
117	33
115	34
108	35
103	36
81	37
79	38
75	39
72	40
71	41
67	42
61	43
58	44
56	45
55	46
47	47
46	48
44	49
43	50
42	51
41	52
38	53
30	54
26	55
25	56
22	57
20	58
18	59
13	60
