# Input: comm_input.txt
# Nodes: 320    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.661187
# Communities: 20
# NId	CommunityId
438	0
440	0
442	0
443	0
444	0
445	0
448	0
449	0
450	0
452	0
454	0
458	0
459	0
460	0
462	0
463	0
466	0
468	0
470	0
472	0
473	0
474	0
475	0
476	0
479	0
480	0
481	0
483	0
484	0
485	0
488	0
489	0
492	0
493	0
494	0
495	0
497	0
504	0
506	0
510	0
513	0
516	0
517	0
518	0
520	0
521	0
522	0
525	0
526	0
527	0
529	0
531	0
534	0
535	0
536	0
537	0
538	0
539	0
542	0
543	0
545	0
546	0
547	0
549	0
551	0
553	0
555	0
557	0
558	0
559	0
560	0
562	0
563	0
565	0
566	0
567	0
8	1
23	1
27	1
28	1
31	1
32	1
33	1
35	1
36	1
40	1
43	1
45	1
49	1
50	1
52	1
57	1
61	1
62	1
63	1
66	1
67	1
75	1
77	1
85	1
98	1
99	1
103	1
105	1
120	1
126	1
174	1
182	1
183	1
184	1
185	1
188	1
189	1
200	1
206	1
208	1
215	1
226	1
232	1
243	1
249	1
256	1
261	1
277	1
279	1
281	1
286	1
287	1
299	1
302	1
311	1
335	1
349	1
386	1
409	1
76	2
88	2
89	2
91	2
92	2
95	2
100	2
102	2
106	2
107	2
108	2
110	2
111	2
112	2
114	2
115	2
128	2
129	2
131	2
135	2
137	2
140	2
147	2
149	2
150	2
152	2
154	2
156	2
161	2
190	2
192	2
193	2
194	2
202	2
235	2
265	2
272	2
276	2
283	2
284	2
358	2
370	2
400	2
405	2
12	3
17	3
20	3
21	3
22	3
25	3
37	3
59	3
60	3
69	3
71	3
72	3
86	3
90	3
104	3
139	3
148	3
205	3
267	3
296	3
306	3
315	3
318	3
321	3
328	3
356	3
359	3
361	3
371	3
385	3
408	3
431	3
1	4
4	4
18	4
19	4
58	4
204	4
242	4
263	4
341	4
365	4
388	4
413	4
427	4
432	4
433	4
435	4
447	4
477	4
541	4
564	4
155	5
160	5
165	5
169	5
199	5
237	5
239	5
254	5
282	5
290	5
291	5
295	5
392	5
416	5
418	5
7	6
64	6
73	6
144	6
186	6
217	6
219	6
220	6
275	6
316	6
376	6
422	6
158	7
159	7
164	7
167	7
207	7
300	7
415	7
419	7
420	7
421	7
216	8
269	8
298	8
313	8
332	8
372	8
379	8
389	8
434	8
41	9
42	9
53	9
55	9
74	9
170	9
210	9
350	9
97	10
146	10
157	10
168	10
171	10
201	10
297	11
303	11
312	11
339	11
366	11
247	12
317	12
346	12
352	12
428	12
70	13
340	13
377	13
378	13
29	14
122	14
133	14
179	14
509	15
511	15
533	15
5	16
121	16
162	16
364	17
369	17
344	18
345	18
487	19
