# Input: comm_input.txt
# Nodes: 82    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.746505
# Communities: 7
# NId	CommunityId
49	0
90	0
190	0
219	0
328	0
366	0
380	0
581	0
624	0
662	0
754	0
920	0
1747	0
1766	0
2067	0
2085	0
2106	0
2126	0
2350	0
2459	0
2477	0
45	1
144	1
156	1
254	1
286	1
336	1
418	1
560	1
1026	1
1154	1
1518	1
1592	1
1629	1
1639	1
1850	1
2319	1
2324	1
2478	1
2544	1
264	2
623	2
843	2
1055	2
1058	2
1232	2
1254	2
1385	2
1448	2
1664	2
1675	2
2308	2
245	3
394	3
802	3
828	3
1022	3
1078	3
1080	3
1211	3
1612	3
1616	3
1826	3
2037	3
738	4
863	4
1478	4
1506	4
1631	4
1812	4
2525	4
361	5
860	5
1012	5
1098	5
1307	5
1757	5
43	6
86	6
171	6
414	6
1083	6
