# Input: comm_input.txt
# Nodes: 215    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.379988
# Communities: 6
# NId	CommunityId
13	0
15	0
17	0
18	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
30	0
31	0
32	0
34	0
35	0
38	0
39	0
41	0
42	0
43	0
44	0
46	0
47	0
48	0
50	0
51	0
53	0
55	0
56	0
58	0
60	0
61	0
67	0
68	0
69	0
70	0
71	0
72	0
75	0
76	0
77	0
78	0
79	0
81	0
91	0
95	0
96	0
98	0
100	0
102	0
103	0
106	0
108	0
109	0
110	0
115	0
116	0
117	0
119	0
122	0
123	0
125	0
126	0
127	0
129	0
130	0
131	0
133	0
134	0
138	0
139	0
149	0
153	0
154	0
156	0
158	0
159	0
167	0
168	0
178	0
179	0
181	0
183	0
184	0
185	0
195	0
200	0
202	0
203	0
207	0
213	0
222	0
225	0
227	0
230	0
243	0
244	0
247	0
248	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
262	0
263	0
266	0
267	0
268	0
271	0
273	0
7	1
12	1
14	1
16	1
19	1
45	1
54	1
62	1
66	1
74	1
82	1
84	1
90	1
97	1
101	1
105	1
111	1
114	1
120	1
136	1
137	1
146	1
155	1
157	1
160	1
161	1
163	1
164	1
171	1
173	1
175	1
186	1
187	1
192	1
196	1
205	1
208	1
215	1
216	1
217	1
218	1
221	1
233	1
234	1
236	1
237	1
241	1
258	1
259	1
260	1
261	1
269	1
272	1
10	2
59	2
63	2
64	2
65	2
73	2
83	2
87	2
92	2
93	2
121	2
135	2
143	2
152	2
166	2
174	2
199	2
204	2
206	2
212	2
219	2
228	2
231	2
238	2
1	3
4	3
5	3
6	3
8	3
11	3
141	3
144	3
162	3
172	3
190	3
214	3
224	3
229	3
240	3
2	4
3	4
52	4
223	4
176	5
198	5
