# Input: comm_input.txt
# Nodes: 266    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.578676
# Communities: 30
# NId	CommunityId
0	0
15	0
56	0
68	0
85	0
91	0
93	0
96	0
99	0
101	0
102	0
108	0
111	0
115	0
116	0
117	0
118	0
119	0
123	0
124	0
127	0
128	0
132	0
136	0
138	0
142	0
143	0
145	0
151	0
152	0
153	0
157	0
159	0
163	0
173	0
176	0
177	0
178	0
181	0
199	0
209	0
214	0
218	0
222	0
227	0
235	0
238	0
239	0
241	0
244	0
252	0
271	0
272	0
280	0
283	0
284	0
295	0
307	0
319	0
321	0
324	0
327	0
328	0
337	0
340	0
343	0
347	0
362	0
374	0
375	0
383	0
385	0
387	0
392	0
396	0
397	0
402	0
406	0
420	0
423	0
431	0
255	1
438	1
439	1
440	1
441	1
446	1
448	1
451	1
453	1
454	1
455	1
456	1
458	1
459	1
467	1
468	1
469	1
478	1
479	1
486	1
487	1
491	1
493	1
495	1
498	1
499	1
501	1
502	1
503	1
504	1
505	1
506	1
507	1
508	1
510	1
513	1
514	1
515	1
516	1
517	1
519	1
522	1
523	1
527	1
529	1
530	1
531	1
532	1
535	1
536	1
538	1
540	1
542	1
543	1
547	1
549	1
554	1
555	1
556	1
559	1
561	1
30	2
79	2
113	2
170	2
184	2
191	2
210	2
219	2
220	2
224	2
248	2
250	2
251	2
253	2
262	2
266	2
270	2
273	2
274	2
288	2
294	2
316	2
323	2
331	2
368	2
376	2
384	2
407	2
422	2
8	3
24	3
44	3
46	3
47	3
48	3
53	3
125	3
187	3
192	3
194	3
196	3
197	3
213	3
221	3
223	3
228	3
230	3
231	3
232	3
236	3
245	3
246	3
249	3
259	3
287	3
311	3
338	3
410	3
4	4
289	4
310	4
341	4
365	4
388	4
390	4
401	4
403	4
404	4
424	4
426	4
427	4
430	4
435	4
436	4
482	4
496	4
16	5
81	5
82	5
258	5
264	5
278	5
308	5
313	5
320	5
332	5
342	5
355	5
367	5
379	5
380	5
389	5
500	6
533	6
544	6
548	6
564	6
391	7
393	7
352	8
428	8
285	9
296	9
106	10
309	10
381	11
348	12
334	13
333	14
329	15
326	16
325	17
314	18
305	19
293	20
292	21
233	22
211	23
201	24
195	25
83	26
34	27
11	28
3	29
