# Input: comm_input.txt
# Nodes: 65    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.037703
# Communities: 33
# NId	CommunityId
0	0
21	0
27	0
28	0
29	0
31	0
32	0
35	0
48	0
70	0
76	0
85	0
110	0
122	0
123	0
124	0
128	0
130	0
138	0
139	0
149	0
151	0
182	0
185	0
203	0
213	0
220	0
245	0
249	0
253	0
254	0
267	0
268	0
262	1
255	2
246	3
242	4
207	5
202	6
191	7
184	8
178	9
168	10
167	11
156	12
154	13
133	14
129	15
125	16
118	17
115	18
108	19
107	20
94	21
88	22
75	23
72	24
61	25
57	26
43	27
36	28
33	29
23	30
22	31
13	32
