# Input: comm_input.txt
# Nodes: 127    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.659710
# Communities: 20
# NId	CommunityId
26	0
32	0
40	0
46	0
50	0
51	0
61	0
75	0
79	0
182	0
184	0
185	0
188	0
189	0
191	0
208	0
226	0
256	0
257	0
302	0
334	0
387	0
411	0
76	1
107	1
129	1
140	1
143	1
214	1
235	1
240	1
272	1
336	1
349	1
371	1
375	1
16	2
258	2
264	2
273	2
308	2
331	2
332	2
345	2
356	2
381	2
4	3
204	3
242	3
289	3
310	3
355	3
434	3
436	3
437	3
438	3
104	4
145	4
147	4
153	4
159	4
207	4
222	4
295	4
413	4
43	5
44	5
47	5
62	5
78	5
200	5
243	5
281	5
301	5
160	6
199	6
241	6
254	6
260	6
365	6
370	6
418	6
85	7
87	7
98	7
99	7
120	7
261	7
286	7
152	8
166	8
234	8
392	8
394	8
416	8
100	9
146	9
209	9
384	9
419	9
36	10
215	10
246	10
287	10
335	10
20	11
22	11
59	11
72	11
304	12
395	12
430	12
271	13
398	13
403	13
42	14
74	14
170	14
285	15
296	15
248	16
262	16
60	17
362	17
39	18
198	18
213	19
