# Input: comm_input.txt
# Nodes: 103    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.290592
# Communities: 26
# NId	CommunityId
0	0
88	0
91	0
92	0
93	0
94	0
95	0
102	0
103	0
108	0
112	0
125	0
126	0
128	0
129	0
135	0
137	0
140	0
143	0
145	0
149	0
150	0
156	0
174	0
230	0
265	0
337	0
360	0
387	0
405	0
7	1
100	1
110	1
111	1
114	1
118	1
144	1
152	1
161	1
167	1
177	1
209	1
212	1
351	1
383	1
396	1
89	2
97	2
101	2
123	2
124	2
131	2
171	2
201	2
295	2
324	2
354	2
117	3
155	3
160	3
165	3
290	3
362	3
415	3
423	3
85	4
87	4
99	4
119	4
120	4
139	4
391	5
393	5
413	5
414	5
163	6
178	6
421	6
122	7
133	7
179	7
282	8
416	8
199	9
241	9
113	10
170	10
104	11
252	11
418	12
381	13
364	14
339	15
333	16
309	17
303	18
238	19
176	20
154	21
142	22
132	23
116	24
29	25
