# Input: comm_input.txt
# Nodes: 370    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.576838
# Communities: 16
# NId	CommunityId
438	0
440	0
442	0
443	0
444	0
449	0
450	0
452	0
454	0
455	0
459	0
460	0
461	0
462	0
463	0
464	0
466	0
468	0
470	0
472	0
473	0
474	0
475	0
476	0
477	0
479	0
480	0
481	0
483	0
484	0
485	0
487	0
488	0
492	0
493	0
494	0
497	0
500	0
505	0
506	0
510	0
511	0
512	0
513	0
514	0
516	0
517	0
518	0
520	0
521	0
525	0
526	0
529	0
530	0
531	0
532	0
533	0
534	0
536	0
537	0
538	0
539	0
542	0
543	0
544	0
545	0
546	0
547	0
549	0
551	0
552	0
553	0
555	0
557	0
558	0
559	0
560	0
562	0
563	0
565	0
566	0
567	0
7	1
29	1
64	1
89	1
97	1
100	1
106	1
107	1
110	1
111	1
114	1
117	1
122	1
127	1
131	1
133	1
144	1
146	1
147	1
152	1
154	1
155	1
158	1
159	1
160	1
161	1
163	1
165	1
166	1
167	1
168	1
169	1
171	1
177	1
179	1
202	1
207	1
212	1
217	1
219	1
220	1
265	1
276	1
290	1
294	1
297	1
300	1
312	1
316	1
326	1
348	1
351	1
354	1
357	1
383	1
398	1
405	1
415	1
418	1
419	1
421	1
423	1
8	2
23	2
26	2
27	2
28	2
31	2
32	2
33	2
35	2
40	2
43	2
44	2
45	2
46	2
48	2
49	2
50	2
51	2
52	2
57	2
61	2
63	2
66	2
73	2
75	2
77	2
103	2
105	2
126	2
164	2
174	2
182	2
184	2
185	2
188	2
189	2
197	2
200	2
208	2
215	2
221	2
223	2
226	2
231	2
236	2
243	2
245	2
246	2
256	2
257	2
275	2
281	2
301	2
302	2
311	2
330	2
335	2
360	2
386	2
409	2
0	3
5	3
10	3
13	3
16	3
17	3
25	3
34	3
37	3
38	3
60	3
69	3
81	3
84	3
123	3
162	3
176	3
180	3
216	3
233	3
247	3
248	3
259	3
262	3
269	3
273	3
278	3
296	3
298	3
304	3
306	3
314	3
318	3
323	3
325	3
329	3
331	3
333	3
338	3
342	3
344	3
345	3
352	3
356	3
361	3
372	3
373	3
379	3
394	3
399	3
407	3
411	3
425	3
428	3
434	3
76	4
88	4
91	4
92	4
95	4
102	4
112	4
115	4
129	4
135	4
137	4
140	4
143	4
145	4
150	4
156	4
190	4
192	4
193	4
194	4
196	4
214	4
235	4
272	4
283	4
347	4
358	4
370	4
374	4
400	4
1	5
4	5
204	5
242	5
263	5
289	5
310	5
359	5
388	5
404	5
413	5
427	5
432	5
433	5
435	5
436	5
447	5
541	5
30	6
36	6
41	6
42	6
53	6
55	6
67	6
74	6
113	6
170	6
183	6
203	6
210	6
350	6
71	7
86	7
138	7
148	7
181	7
315	7
328	7
371	7
402	7
408	7
431	7
12	8
20	8
21	8
22	8
58	8
59	8
68	8
72	8
3	9
87	9
98	9
99	9
120	9
139	9
261	9
286	9
199	10
237	10
241	10
254	10
282	10
416	10
70	11
205	11
377	11
378	11
14	12
18	12
19	12
83	12
364	13
369	13
417	13
104	14
153	14
295	14
339	15
366	15
