# Input: comm_input.txt
# Nodes: 439    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.536607
# Communities: 33
# NId	CommunityId
8	0
23	0
26	0
27	0
28	0
31	0
32	0
33	0
35	0
40	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
57	0
61	0
62	0
63	0
66	0
75	0
77	0
78	0
79	0
103	0
105	0
125	0
126	0
132	0
174	0
182	0
184	0
185	0
187	0
188	0
189	0
191	0
197	0
200	0
206	0
208	0
213	0
221	0
223	0
226	0
228	0
229	0
230	0
231	0
232	0
236	0
243	0
245	0
246	0
249	0
253	0
256	0
257	0
277	0
279	0
281	0
292	0
299	0
301	0
302	0
314	0
334	0
335	0
387	0
410	0
411	0
29	1
89	1
96	1
97	1
100	1
101	1
104	1
107	1
110	1
111	1
114	1
118	1
123	1
124	1
131	1
134	1
136	1
141	1
145	1
146	1
147	1
151	1
152	1
153	1
154	1
157	1
158	1
159	1
161	1
163	1
164	1
166	1
167	1
168	1
171	1
175	1
177	1
178	1
201	1
207	1
209	1
212	1
222	1
238	1
252	1
268	1
276	1
290	1
295	1
300	1
307	1
324	1
351	1
354	1
358	1
361	1
376	1
384	1
397	1
399	1
406	1
413	1
419	1
420	1
421	1
422	1
0	2
2	2
9	2
10	2
11	2
16	2
81	2
82	2
216	2
218	2
225	2
235	2
240	2
247	2
258	2
264	2
269	2
272	2
278	2
283	2
284	2
298	2
304	2
308	2
313	2
317	2
320	2
332	2
336	2
342	2
344	2
345	2
346	2
347	2
352	2
356	2
359	2
368	2
371	2
373	2
375	2
380	2
381	2
390	2
395	2
396	2
400	2
401	2
429	2
430	2
435	2
3	3
6	3
12	3
15	3
17	3
20	3
21	3
22	3
25	3
37	3
56	3
58	3
59	3
60	3
68	3
69	3
71	3
72	3
83	3
86	3
90	3
138	3
139	3
148	3
172	3
181	3
205	3
211	3
267	3
271	3
285	3
296	3
306	3
315	3
318	3
321	3
322	3
325	3
328	3
343	3
357	3
362	3
364	3
372	3
386	3
398	3
403	3
407	3
409	3
432	3
7	4
64	4
65	4
73	4
80	4
84	4
113	4
144	4
186	4
203	4
217	4
219	4
220	4
224	4
248	4
250	4
251	4
262	4
266	4
270	4
273	4
274	4
275	4
288	4
294	4
316	4
323	4
330	4
331	4
369	4
377	4
408	4
423	4
76	5
88	5
91	5
92	5
94	5
95	5
102	5
108	5
112	5
115	5
116	5
128	5
129	5
135	5
137	5
140	5
143	5
149	5
150	5
156	5
190	5
192	5
193	5
194	5
196	5
202	5
214	5
265	5
337	5
349	5
388	5
1	6
4	6
204	6
242	6
255	6
263	6
289	6
310	6
341	6
355	6
360	6
366	6
389	6
391	6
402	6
404	6
405	6
414	6
425	6
427	6
428	6
431	6
433	6
434	6
436	6
437	6
438	6
117	7
155	7
160	7
165	7
169	7
199	7
227	7
237	7
239	7
241	7
254	7
260	7
282	7
291	7
326	7
327	7
363	7
383	7
393	7
412	7
417	7
418	7
424	7
24	8
41	8
42	8
53	8
54	8
55	8
74	8
109	8
170	8
210	8
233	8
350	8
385	8
93	9
122	9
127	9
130	9
133	9
142	9
173	9
179	9
297	9
303	9
312	9
382	9
234	10
244	10
305	10
348	10
392	10
394	10
415	10
416	10
426	10
85	11
87	11
98	11
99	11
119	11
120	11
286	11
70	12
280	12
319	12
340	12
378	12
379	12
36	13
215	13
287	13
311	13
339	14
353	14
367	14
30	15
67	15
183	15
14	16
18	16
19	16
5	17
121	17
162	17
365	18
370	18
259	19
338	19
106	20
309	20
39	21
198	21
374	22
333	23
329	24
293	25
261	26
195	27
180	28
176	29
38	30
34	31
13	32
