# Input: comm_input.txt
# Nodes: 568    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.591633
# Communities: 15
# NId	CommunityId
0	0
2	0
8	0
9	0
10	0
11	0
13	0
23	0
24	0
26	0
27	0
28	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
57	0
61	0
62	0
63	0
66	0
67	0
74	0
75	0
77	0
78	0
79	0
85	0
87	0
98	0
99	0
103	0
105	0
109	0
119	0
120	0
125	0
126	0
132	0
170	0
174	0
180	0
182	0
183	0
184	0
185	0
187	0
188	0
189	0
191	0
195	0
197	0
198	0
200	0
206	0
208	0
210	0
213	0
215	0
218	0
221	0
223	0
226	0
228	0
229	0
230	0
231	0
232	0
233	0
235	0
236	0
240	0
243	0
245	0
246	0
247	0
249	0
253	0
256	0
257	0
259	0
261	0
272	0
277	0
279	0
281	0
283	0
284	0
286	0
287	0
293	0
299	0
301	0
302	0
304	0
311	0
317	0
329	0
333	0
334	0
335	0
336	0
338	0
346	0
347	0
350	0
352	0
358	0
370	0
373	0
374	0
384	0
386	0
394	0
395	0
399	0
400	0
409	0
410	0
428	0
429	0
225	1
255	1
438	1
439	1
440	1
441	1
442	1
443	1
444	1
445	1
446	1
448	1
449	1
450	1
451	1
452	1
453	1
454	1
455	1
456	1
457	1
458	1
459	1
460	1
461	1
462	1
463	1
464	1
465	1
466	1
467	1
468	1
469	1
470	1
471	1
472	1
473	1
474	1
475	1
476	1
478	1
479	1
480	1
481	1
483	1
484	1
485	1
486	1
487	1
488	1
489	1
490	1
491	1
492	1
493	1
494	1
495	1
497	1
498	1
499	1
501	1
502	1
503	1
504	1
505	1
506	1
507	1
508	1
510	1
511	1
512	1
513	1
514	1
515	1
516	1
517	1
518	1
519	1
520	1
521	1
522	1
523	1
524	1
525	1
526	1
527	1
529	1
530	1
531	1
532	1
534	1
535	1
536	1
537	1
538	1
539	1
540	1
542	1
543	1
544	1
545	1
546	1
547	1
549	1
551	1
552	1
553	1
554	1
555	1
556	1
557	1
558	1
559	1
560	1
561	1
562	1
563	1
565	1
566	1
567	1
5	2
29	2
89	2
93	2
96	2
97	2
100	2
101	2
104	2
106	2
107	2
110	2
111	2
114	2
118	2
121	2
122	2
123	2
124	2
127	2
130	2
131	2
133	2
134	2
136	2
141	2
145	2
146	2
147	2
151	2
152	2
153	2
154	2
157	2
158	2
159	2
161	2
162	2
163	2
164	2
166	2
167	2
168	2
171	2
173	2
175	2
176	2
177	2
178	2
179	2
201	2
202	2
207	2
209	2
212	2
222	2
238	2
252	2
268	2
276	2
290	2
295	2
300	2
303	2
307	2
309	2
312	2
324	2
351	2
354	2
357	2
375	2
381	2
383	2
396	2
398	2
405	2
412	2
418	2
419	2
420	2
421	2
3	3
6	3
12	3
15	3
20	3
21	3
22	3
37	3
56	3
58	3
59	3
68	3
71	3
72	3
86	3
90	3
138	3
139	3
148	3
172	3
181	3
205	3
211	3
267	3
271	3
285	3
292	3
296	3
314	3
315	3
321	3
322	3
328	3
343	3
363	3
371	3
385	3
397	3
402	3
406	3
408	3
431	3
1	4
4	4
16	4
204	4
242	4
263	4
289	4
310	4
341	4
355	4
359	4
365	4
388	4
390	4
393	4
401	4
403	4
404	4
413	4
424	4
426	4
427	4
430	4
432	4
433	4
435	4
436	4
437	4
447	4
477	4
482	4
496	4
500	4
509	4
528	4
533	4
541	4
548	4
550	4
564	4
7	5
64	5
65	5
73	5
80	5
84	5
113	5
144	5
186	5
203	5
217	5
219	5
220	5
224	5
248	5
250	5
251	5
262	5
266	5
270	5
273	5
274	5
275	5
288	5
294	5
316	5
323	5
330	5
331	5
368	5
376	5
407	5
422	5
76	6
88	6
91	6
92	6
94	6
95	6
102	6
108	6
112	6
115	6
116	6
128	6
129	6
135	6
137	6
140	6
143	6
149	6
150	6
156	6
190	6
192	6
193	6
194	6
196	6
214	6
265	6
337	6
349	6
387	6
81	7
82	7
216	7
258	7
264	7
269	7
278	7
298	7
308	7
313	7
320	7
332	7
342	7
344	7
345	7
367	7
372	7
379	7
380	7
389	7
434	7
117	8
155	8
160	8
169	8
199	8
227	8
239	8
241	8
254	8
260	8
282	8
291	8
326	8
362	8
382	8
411	8
416	8
417	8
423	8
165	9
234	9
237	9
244	9
305	9
327	9
348	9
360	9
391	9
392	9
414	9
415	9
425	9
17	10
25	10
60	10
69	10
306	10
318	10
325	10
356	10
361	10
70	11
280	11
319	11
340	11
377	11
378	11
142	12
297	12
339	12
353	12
366	12
14	13
18	13
19	13
83	13
364	14
369	14
