# Input: comm_input.txt
# Nodes: 393    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.535294
# Communities: 43
# NId	CommunityId
0	0
8	0
23	0
26	0
27	0
28	0
31	0
32	0
33	0
43	0
45	0
48	0
49	0
50	0
51	0
57	0
61	0
63	0
66	0
77	0
87	0
98	0
99	0
103	0
105	0
120	0
126	0
132	0
174	0
182	0
183	0
185	0
187	0
188	0
189	0
191	0
197	0
200	0
206	0
208	0
221	0
223	0
226	0
228	0
229	0
230	0
231	0
232	0
243	0
256	0
279	0
281	0
286	0
296	0
299	0
301	0
302	0
335	0
409	0
7	1
29	1
89	1
93	1
97	1
100	1
104	1
107	1
110	1
111	1
114	1
118	1
122	1
127	1
131	1
133	1
134	1
141	1
146	1
147	1
148	1
152	1
153	1
154	1
157	1
158	1
159	1
161	1
163	1
164	1
166	1
167	1
168	1
171	1
175	1
177	1
179	1
201	1
207	1
209	1
212	1
252	1
268	1
276	1
300	1
354	1
357	1
396	1
398	1
405	1
412	1
418	1
419	1
420	1
421	1
225	2
440	2
442	2
443	2
444	2
445	2
452	2
453	2
459	2
461	2
463	2
466	2
470	2
472	2
473	2
480	2
481	2
483	2
484	2
490	2
497	2
523	2
524	2
526	2
531	2
535	2
549	2
553	2
556	2
557	2
558	2
560	2
561	2
562	2
3	3
12	3
15	3
20	3
21	3
22	3
37	3
56	3
58	3
59	3
71	3
72	3
86	3
90	3
138	3
139	3
172	3
181	3
205	3
267	3
285	3
315	3
321	3
322	3
328	3
363	3
371	3
397	3
406	3
408	3
76	4
88	4
91	4
92	4
94	4
95	4
102	4
112	4
115	4
116	4
129	4
135	4
140	4
143	4
149	4
150	4
156	4
190	4
192	4
193	4
202	4
214	4
265	4
337	4
387	4
1	5
4	5
204	5
242	5
263	5
289	5
308	5
310	5
359	5
388	5
393	5
403	5
404	5
413	5
425	5
432	5
433	5
435	5
436	5
447	5
477	5
541	5
544	5
550	5
564	5
155	6
160	6
165	6
169	6
199	6
227	6
237	6
239	6
241	6
254	6
282	6
291	6
327	6
382	6
411	6
417	6
16	7
81	7
216	7
258	7
264	7
269	7
298	7
313	7
344	7
345	7
355	7
367	7
372	7
379	7
389	7
434	7
64	8
65	8
73	8
80	8
144	8
186	8
217	8
250	8
266	8
270	8
275	8
288	8
316	8
376	8
456	9
474	9
475	9
476	9
492	9
505	9
520	9
532	9
545	9
546	9
555	9
563	9
565	9
30	10
36	10
42	10
53	10
54	10
67	10
74	10
109	10
170	10
203	10
210	10
350	10
384	10
439	11
493	11
494	11
507	11
512	11
514	11
518	11
525	11
551	11
559	11
17	12
25	12
60	12
69	12
306	12
318	12
325	12
356	12
361	12
235	13
240	13
272	13
283	13
358	13
370	13
374	13
400	13
130	14
142	14
297	14
303	14
312	14
339	14
366	14
381	14
464	15
498	15
503	15
506	15
515	15
539	15
70	16
280	16
319	16
377	16
378	16
14	17
18	17
19	17
83	17
529	18
534	18
540	18
460	19
566	19
567	19
234	20
305	20
415	20
84	21
273	21
331	21
9	22
10	22
11	22
5	23
121	23
162	23
455	24
469	24
450	25
468	25
364	26
369	26
346	27
352	27
215	28
311	28
106	29
309	29
394	30
373	31
338	32
329	33
304	34
293	35
262	36
261	37
198	38
195	39
180	40
34	41
13	42
