# Input: comm_input.txt
# Nodes: 182    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.596497
# Communities: 16
# NId	CommunityId
7	0
76	0
88	0
89	0
91	0
92	0
95	0
97	0
100	0
107	0
110	0
112	0
114	0
129	0
131	0
135	0
137	0
140	0
147	0
150	0
152	0
154	0
156	0
161	0
171	0
190	0
193	0
202	0
214	0
235	0
240	0
265	0
276	0
347	0
354	0
359	0
371	0
375	0
401	0
406	0
23	1
26	1
27	1
28	1
31	1
32	1
33	1
40	1
43	1
45	1
49	1
50	1
57	1
61	1
63	1
66	1
77	1
103	1
105	1
126	1
174	1
182	1
185	1
188	1
189	1
213	1
215	1
226	1
243	1
256	1
281	1
302	1
335	1
410	1
1	2
12	2
14	2
18	2
19	2
20	2
21	2
22	2
58	2
59	2
72	2
83	2
204	2
242	2
263	2
289	2
310	2
355	2
360	2
372	2
414	2
146	3
155	3
160	3
165	3
168	3
169	3
199	3
237	3
254	3
282	3
290	3
365	3
370	3
418	3
419	3
70	4
71	4
86	4
98	4
120	4
139	4
181	4
205	4
261	4
286	4
315	4
378	4
379	4
409	4
432	4
41	5
42	5
53	5
55	5
67	5
74	5
170	5
183	5
210	5
350	5
158	6
159	6
163	6
164	6
167	6
207	6
300	6
420	6
422	6
64	7
73	7
144	7
217	7
275	7
330	7
377	7
416	7
5	8
29	8
121	8
127	8
133	8
162	8
179	8
216	9
269	9
298	9
373	9
380	9
435	9
17	10
25	10
60	10
69	10
357	10
362	10
84	11
331	11
408	11
344	12
345	12
312	13
382	13
248	14
262	14
104	15
153	15
