# Input: comm_input.txt
# Nodes: 66    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: -0.000118
# Communities: 2
# NId	CommunityId
37	0
48	0
79	0
96	0
194	0
204	0
230	0
311	0
354	0
381	0
456	0
574	0
628	0
638	0
724	0
749	0
812	0
852	0
884	0
1010	0
1031	0
1063	0
1081	0
1086	0
1146	0
1148	0
1174	0
1198	0
1251	0
1256	0
1333	0
1413	0
1575	0
1594	0
1749	0
1781	0
1823	0
1842	0
1853	0
1877	0
1915	0
1939	0
1951	0
1964	0
1970	0
1980	0
1987	0
2040	0
2045	0
2102	0
2139	0
2176	0
2228	0
2229	0
2254	0
2256	0
2259	0
2293	0
2307	0
2320	0
2364	0
2474	0
2482	0
2549	0
2567	0
2334	1
