# Input: comm_input.txt
# Nodes: 108    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.683259
# Communities: 9
# NId	CommunityId
24	0
44	0
47	0
48	0
53	0
106	0
125	0
132	0
170	0
187	0
192	0
194	0
196	0
197	0
213	0
221	0
223	0
230	0
231	0
236	0
245	0
246	0
249	0
287	0
309	0
311	0
410	0
30	1
113	1
210	1
219	1
220	1
248	1
250	1
262	1
266	1
270	1
273	1
274	1
288	1
294	1
316	1
331	1
368	1
376	1
384	1
407	1
422	1
91	2
93	2
102	2
108	2
115	2
116	2
127	2
128	2
143	2
152	2
214	2
235	2
337	2
347	2
374	2
387	2
142	3
151	3
159	3
163	3
173	3
176	3
178	3
222	3
238	3
252	3
307	3
420	3
96	4
101	4
111	4
123	4
124	4
136	4
177	4
209	4
295	4
324	4
375	4
383	4
117	5
199	5
227	5
239	5
241	5
244	5
327	5
362	5
392	5
423	5
79	6
184	6
191	6
224	6
253	6
85	7
99	7
119	7
391	8
393	8
